BMID_Experiment,X,Y,Z
,-42,3,30
,-45,18,15
,-51,27,18
,-9,-78,-6
,-9,-93,-3
,19,-7,-22
,3,9,54
,39,-24,51
,42,21,0
,45,15,24
,48,3,30
,6,0,57
,60,9,21
9110178_2,-18,-22,12
,-34,-56,56
,-36,22,2
,-44,8,34
,18,-26,14
,2,-36,-40
,32,-64,-50
,34,22,2
,4,16,46
,40,56,6
,88,2,54
9110182_7,-10,-48,66
,-10,2,66
,-12,-18,72
,-12,-64,62
,-12,26,40
,-20,32,28
,-34,24,24
,-36,-10,44
,-38,0,24
,-4,6,62
,-48,-44,44
,-54,-34,48
,-6,12,-16
,-6,16,50
,-8,20,36
,10,-22,66
,18,24,28
,22,18,40
,24,-64,58
,34,22,20
,34,26,-2
,42,26,18
,46,18,22
10010001_1,-10,-2,6
,-12,-22,18
,-14,-96,6
,-26,-60,38
,-26,-66,50
,-26,16,-6
,-30,-58,-32
,-32,18,2
,-32,36,18
,-4,4,60
,-40,56,18
,-42,-52,50
,-44,10,32
,-44,16,-6
,-50,-42,48
,-54,-40,20
,-58,-36,36
,-8,0,68
,0,-22,32
,10,-10,2
,10,-56,-36
,12,-18,14
,12,-70,38
,14,-36,42
,16,2,10
,18,-6,68
,18,16,58
,2,-50,-40
,2,14,46
,24,-62,42
,26,52,26
,32,-4,50
,34,18,14
,34,8,58
,36,-12,-8
,36,-58,48
,38,-52,-14
,38,16,-6
,4,24,36
,42,6,32
,44,-46,40
,46,36,16
,48,16,18
,50,-30,-2
,52,-20,-6
,52,-38,48
,52,-50,16
,54,-10,-10
,54,14,26
,6,-28,-22
,6,42,14
,6,6,62
,60,-48,8
,64,-26,24
,64,-30,38
,64,-40,16
,64,-40,30
10010001_3,-16,-92,-2
,-32,-56,-30
,-32,20,4
,-42,6,38
,-62,-24,34
,-8,-4,10
,0,-52,-36
,12,-90,4
,14,-14,16
,14,2,0
,16,-66,40
,2,-22,32
,30,-56,48
,34,58,20
,40,24,4
,46,10,44
,56,-20,-2
,58,-40,40
,6,22,52
10010001_4,-14,4,6
,-2,-24,36
,-24,16,2
,-34,20,18
,-36,16,-10
,-4,0,6
,-42,12,28
,-44,-44,52
,-54,-36,38
,20,4,6
,28,52,28
,4,36,26
,46,16,16
,54,-46,56
,56,-43,24
,8,-6,6
10030023_4,-2,32,35
,-27,-73,50
,-30,-64,43
,-34,-54,45
,-44,2,27
,1,20,49
,43,-41,43
,5,26,42
10030039_4,-17,29,-19
,-20,-56,39
,-27,-49,-34
,-28,-45,49
,-33,-7,72
,-33,12,30
,-44,-26,12
,-51,-58,1
,-61,3,-15
,18,67,-5
,22,-13,-32
,26,-54,41
,27,29,-22
,38,-65,-29
,38,-77,15
,43,-52,60
,47,14,26
,56,-16,2
,56,46,2
,74,-30,9
,8,-39,26
10030064_2,-14,-102,6
,-2,-60,14
,-20,-24,-20
,-36,-46,-20
,-38,-2,32
,-44,-66,34
,-44,-70,-12
,-46,10,44
,-46,18,18
,-54,28,14
,-56,0,-20
,-56,26,-4
,-60,-16,-16
,-60,-44,0
,26,-90,-6
,60,-4,-20
,8,-34,66
10030064_3,-10,14,64
,-18,-102,-6
,-22,-80,48
,-26,-24,-16
,-28,-36,-22
,-34,-54,-18
,-4,-54,38
,-4,-56,10
,-4,44,38
,-42,2,40
,-46,8,22
,-48,-70,20
,-52,26,-6
,-56,-20,-8
,-56,-38,-2
,-56,0,-20
,-56,20,20
,-6,26,34
,12,-28,66
,16,-92,-6
,24,-18,-18
,26,-86,40
,38,-48,-22
,46,12,28
,60,-6,-18
10030065_1,-12,-75,-14
,-31,-70,43
,-42,6,29
,-44,30,25
,-5,14,47
,25,-75,-17
,27,-61,48
,45,4,31
10080177_2,-10,-24,-2
,-11,-9,41
,-17,-57,64
,-2,6,62
,-24,-5,64
,-28,-23,61
,-3,11,53
,-37,4,27
,-46,4,45
,19,-54,63
,23,-1,-5
,30,5,53
,32,-33,61
,38,-9,0
10080190_7,-15,-3,15
,-15,9,3
,-27,-69,45
,-3,-18,15
,-3,-3,63
,-30,-60,42
,-42,-45,42
,-42,-6,51
,-42,3,30
,-48,-51,6
,27,-6,60
,30,-69,48
,33,-3,66
,33,-66,36
,36,21,-6
,39,-48,48
,45,3,30
,45,42,30
,51,24,30
10080205_1,-12,-18,12
,-15,-9,3
,-18,15,-15
,-24,-69,48
,-24,-96,0
,-24,0,9
,-27,-60,-30
,-33,33,24
,-39,24,-12
,-42,3,30
,-45,-48,-18
,-48,36,-6
,-51,18,-3
,-51,39,6
,-54,6,-6
,-57,12,12
,-9,-15,-18
,-9,-54,-12
,-9,-69,-42
,-9,18,42
,0,-93,6
,0,0,69
,12,18,-3
,12,21,39
,15,-87,-33
,15,6,72
,18,-15,-3
,21,18,-15
,24,3,9
,27,-69,-30
,48,18,-3
,54,12,18
10080210_1,-36,21,27
,-39,6,24
,-45,27,9
,-51,21,-12
,3,15,42
,3,30,36
10080210_4,-36,21,27
,-39,9,27
,-45,15,16
,-45,27,9
,-45,30,0
10080210_5,-39,21,30
,-39,6,27
,-45,21,24
,-51,21,-12
10080210_6,-33,15,30
,-36,27,3
,-36,6,30
,-48,27,-12
,-51,18,27
11010007_1,-25,61,-8
,-27,-57,49
,-36,-58,49
,-39,29,26
,-41,6,37
,32,48,-8
,33,-57,48
,41,43,24
,43,25,26
,6,14,50
11010021_3,-10,28,30
,-12,-76,-24
,-12,-96,-6
,-14,-38,-2
,-14,40,-16
,-16,-92,0
,-18,60,4
,-20,26,-18
,-22,34,-18
,-24,-72,-8
,-24,56,0
,-26,10,-18
,-26,18,0
,-36,-52,46
,-38,24,20
,-4,-34,26
,-4,38,-8
,-40,36,14
,-42,-2,30
,-44,42,8
,-48,-62,-10
,-48,6,28
,-50,6,42
,-52,-44,-14
,-58,-48,-10
,-6,-20,10
,-6,-30,-8
,-8,4,-8
,0,-34,42
,0,-76,8
,10,-80,-26
,12,-80,6
,18,-18,14
,2,2,38
,22,-50,-24
,24,24,-10
,26,18,-16
,26,34,-14
,28,18,44
,30,18,-6
,36,4,30
,38,-82,-4
,4,-28,-16
,4,40,-2
,40,-46,42
,42,-38,44
,42,30,20
,44,8,26
,46,-56,-20
,46,36,10
,48,-56,-10
,48,20,-18
,52,10,18
,54,30,18
,56,-54,-10
,6,-12,6
,6,-20,32
,6,-80,18
,6,28,-10
11010021_4,-12,-18,12
,-12,-64,54
,-14,-38,-2
,-14,-54,4
,-14,-64,22
,-16,-92,0
,-18,-56,12
,-18,-80,16
,-2,-78,6
,-20,-26,-2
,-22,-68,-2
,-22,-72,50
,-24,34,-18
,-26,18,0
,-28,-84,32
,-32,-54,48
,-32,-76,34
,-4,-30,10
,-4,-74,44
,-4,-86,-6
,-42,-2,30
,-42,-50,48
,-48,-64,-10
,-8,28,32
,12,-70,10
,14,-94,18
,16,-60,6
,16,-96,8
,2,-34,42
,22,-56,-2
,24,-50,-26
,32,-48,44
,32,-60,54
,38,2,30
,40,-64,-12
,40,-72,20
,42,-38,44
,44,-78,16
,44,36,8
,44,6,26
,48,-56,-10
,48,-68,20
,48,42,14
,56,-54,-10
,8,-72,46
11010021_10,-10,-14,2
,-10,-34,0
,-18,36,-20
,-2,6,26
,-22,-74,-4
,-26,6,60
,-30,56,-4
,-32,-58,-8
,-36,-52,50
,-38,-72,-26
,-40,-42,-38
,-40,-44,42
,-40,-56,-12
,-40,44,4
,-42,-2,32
,-42,-72,-34
,-42,34,18
,-44,-46,50
,-44,48,-14
,-46,4,46
,-48,-62,-8
,-50,28,26
,-54,8,34
,-6,-30,-8
,-6,12,22
,-6,30,34
,-8,-20,-12
,-8,-78,-24
,0,-32,28
,10,-10,10
,14,12,2
,22,-94,-2
,22,2,50
,24,36,-14
,28,20,44
,32,12,56
,32,16,-2
,34,-60,58
,36,-86,0
,36,4,30
,38,-40,-20
,42,32,42
,44,-50,60
,44,-56,-8
,44,42,22
,46,14,30
,46,6,28
,48,20,-14
,48,46,16
,52,24,14
,52,34,26
,56,-56,-12
,6,22,48
,8,-40,44
11010024_1,-36,-66,24
,-42,-45,-18
,-42,12,24
,-45,24,-6
,-57,-9,-15
,-60,-45,3
,33,24,-6
,54,27,21
,9,18,48
11010027_1,-15,-2,14
,-20,-6,58
,-22,4,-3
,-28,-47,49
,-29,23,-5
,-37,9,27
,16,2,2
,25,4,59
,28,-61,48
,3,17,36
,34,25,-7
,38,7,27
,5,4,47
11010032_1,-11,-10,5
,-24,13,1
,-37,-4,41
,-37,20,13
,-4,10,45
,-4,8,49
,-60,-25,29
,-67,-10,6
,15,-8,9
,26,8,4
,42,16,6
,5,6,35
,57,6,44
,58,-33,38
,7,9,52
11030036_2,-1,-24,27
,-2,36,28
,-37,33,24
,-39,4,24
,43,-42,29
,46,38,26
11030036_3,-11,-69,12
,-32,-24,14
,-34,9,27
,-35,-36,36
,-39,36,28
,-4,-23,62
,-46,8,36
,-51,30,7
,1,-24,33
,14,-57,18
,23,37,-19
,24,-35,71
,28,-80,16
,3,36,31
,31,-17,14
,4,-29,-21
,47,-42,35
,48,14,33
,9,-76,-19
11030039_2,-2,10,56
,-24,-74,48
,-26,6,64
,-28,-78,30
,-30,-56,42
,-38,14,26
,-4,16,46
,-40,-68,-16
,-46,30,16
,-50,2,34
,-6,-96,-14
,0,-68,16
,18,-70,54
,34,-60,-18
,34,-66,-26
,36,-90,0
,38,8,26
11040055_2,-16,-100,-2
,-32,-58,56
,-34,-80,-14
,-34,20,8
,-44,4,32
,-46,-38,50
,-48,-74,-6
,32,-62,56
,38,-84,2
,46,-72,-12
,48,10,30
11080060_1,-12,-71,-17
,-24,-1,44
,-30,-42,41
,-30,23,-4
,-42,4,27
,-45,-53,-7
,-6,25,37
,-9,-9,3
,12,-71,-17
,15,-5,20
,18,55,-13
,24,-27,-6
,30,-42,41
,30,23,-9
,33,8,38
,45,49,-10
,54,-53,-5
,6,25,37
11080062_10,-3,-20,0
,-31,-75,25
,-34,-56,45
,-37,0,41
,-49,-56,-20
,-50,9,25
,-9,31,38
,12,10,14
,36,-64,44
,37,28,-1
,4,15,47
,50,6,31
11080065_7,-14,-68,40
,-35,-1,27
,-47,7,26
,10,-53,64
,34,-42,58
,45,-68,36
11080068_1,-15,-18,0
,-27,-3,54
,-36,-39,45
,-36,-72,21
,-36,3,24
,-45,21,0
,26,-9,54
,36,15,-6
11080073_1,-18,-81,3
,-24,-60,42
,-24,-78,-9
,-27,0,54
,-42,-42,45
,-42,3,36
,-45,-39,57
,-6,12,54
,3,-75,54
,30,24,0
,30,24,12
,30,54,0
,30,6,57
,33,-69,36
,39,36,39
,45,42,21
,48,-42,54
11080073_3,-21,-81,0
,-24,-69,-3
,-24,-72,33
,-27,-60,42
,-27,0,54
,-42,3,30
,-45,-42,48
,-6,12,54
,-9,-78,3
,-9,18,48
,21,15,66
,24,6,54
,30,54,0
,33,6,54
,39,33,45
,42,-60,51
,42,36,36
,45,-39,45
,48,-42,54
,6,-72,57
11080078_7,-1,17,45
,-19,-26,-1
,-26,1,51
,-31,26,3
,-39,4,38
,-7,24,29
,21,-26,-1
,33,25,-10
,34,6,50
,4,17,46
,42,13,29
,6,-21,28
11080078_9,-11,31,24
,-19,-31,0
,-2,21,45
,-23,-3,48
,-3,-26,-1
,-40,58,9
,-43,12,26
,-43,17,-4
,-7,-14,11
,1,-21,28
,10,-13,15
,10,-26,-1
,13,-7,1
,13,2,5
,22,-26,2
,29,14,49
,33,25,-10
,38,15,24
,45,31,23
,6,21,45
11080084_5,-20,34,22
,-30,2,30
,-32,32,24
,-34,40,20
,16,32,26
,18,34,18
11080094_1,-14,-104,6
,-20,-74,34
,-22,-68,44
,-24,-86,8
,-26,-84,-10
,-30,-2,38
,-42,4,32
,0,6,20
,22,-98,2
,22,50,-14
,26,-64,46
,28,-74,34
,34,28,0
,42,30,18
,48,-40,52
,8,14,56
11110101_2,-32,-62,48
,-34,-50,-26
,-34,30,-8
,-42,-46,-24
,-44,-48,-22
,-44,-50,4
,-44,12,26
,-46,-64,-12
,-46,14,12
,-48,-34,38
,-48,-72,-2
,-48,34,8
,-50,4,46
,-56,16,2
,-6,16,50
,-8,6,60
,18,-66,60
,28,-60,50
,36,-86,6
,38,-48,-20
,40,-58,-28
,40,-74,-4
,46,-64,-10
,50,-74,10
11110101_5,-10,18,50
,-12,2,68
,-14,-74,48
,-20,12,8
,-26,-76,38
,-30,26,0
,-30,36,10
,-30,8,26
,-36,-52,42
,-44,22,26
,-44,6,38
,-46,-50,6
,-50,-50,42
,-54,26,2
,-56,-40,30
,-62,-48,6
,10,30,36
,26,-46,42
,26,-60,60
,32,-66,-38
,32,0,50
,34,-72,46
,34,56,8
,40,-50,50
,42,-50,-22
,46,30,30
,48,-68,0
,52,14,8
,54,28,-10
,62,-52,10
12020001_1,-12,-96,-6
,-14,-92,-4
,-22,-78,40
,-22,-88,18
,-24,-80,32
,-24,-86,22
,-26,-96,10
,-28,-68,42
,-44,28,-2
,-44,4,36
,-46,20,-6
,-46,26,32
,-48,16,30
,-48,26,32
,-48,28,0
,-48,4,50
,-52,-54,-20
,-52,14,-16
,-54,-48,-18
,-8,-74,-20
,24,-100,0
,24,-80,26
,24,-90,12
,28,-92,-12
,36,-86,-12
,38,-76,-32
,56,-40,-18
12020002_6,-32,32,6
,-4,23,44
,-41,14,26
,36,15,8
,7,18,45
12020012_3,-2,14,58
,-24,-74,50
,-42,-70,-18
,-42,0,40
,-44,-60,-14
,26,-2,58
,30,24,6
,44,-46,46
,48,8,22
12020015_2,-4,18,34
,-44,8,32
,-48,-28,8
,-52,12,20
,-56,-20,10
,-66,-30,4
,46,-28,-4
,60,-18,4
,60,-26,8
12050041_4,-31,27,13
,-34,59,24
,-38,25,-36
,-44,9,32
,-51,66,9
,20,-87,-29
12070053_4,-12,-22,22
,-12,-78,-32
,-18,-24,-2
,-2,24,54
,-32,-70,-48
,-38,-64,-40
,-38,6,32
,-40,-34,14
,-40,46,-2
,-42,-62,54
,-42,22,42
,-44,-6,36
,-44,18,44
,-48,-48,42
,-48,36,20
,-48,38,16
,-50,-54,50
,-50,12,42
,-50,8,32
,-52,-60,4
,-54,30,16
,-56,-22,6
,-56,-50,-10
,-6,32,46
,-64,-42,36
,-66,-36,-4
,10,-78,-32
,10,34,36
,18,-26,22
,20,8,68
,22,-32,16
,28,12,32
,30,56,30
,32,14,34
,34,-62,48
,34,8,38
,36,4,62
,38,6,40
,40,26,26
,42,-50,46
,42,-56,50
,42,22,36
,42,34,40
,42,46,-6
,44,44,18
,46,16,42
,48,38,28
,48,46,2
,50,28,32
,52,-42,54
,56,-44,42
,56,-50,46
,60,-40,44
,62,-34,-16
,62,-38,42
,64,-14,4
,64,-50,-2
,68,-40,-6
,70,-32,2
,8,20,66
12070056_1,-22,14,-12
,-28,18,-12
,-32,20,-12
,-34,24,-12
,-34,32,-8
,-38,40,4
,-38,8,32
,-40,-2,-36
,-42,10,28
,-44,-6,-16
,-48,14,24
,-50,-4,-8
,-50,4,-8
,-50,8,-4
,-52,-70,0
,-56,-14,0
,-58,-16,4
,-58,-36,4
,0,14,64
,30,40,-12
,44,2,-16
,52,-70,0
,58,-34,4
,60,-28,4
,60,-6,-4
,62,-24,0
12070056_3,-12,-68,-40
,-16,-68,-36
,-2,20,40
,-20,-70,-36
,-24,22,-16
,-30,32,-12
,-34,18,-4
,-34,34,-12
,-36,22,24
,-36,24,4
,-36,26,20
,-36,8,28
,-40,22,20
,-42,10,0
,-44,2,32
,-44,42,20
,-46,28,0
,-48,18,24
,-48,52,4
,-50,-46,56
,-50,2,32
,-52,-10,40
,-52,16,28
,-54,16,8
,-58,-12,40
,-58,-18,0
,-60,-40,40
,-60,-42,8
,-64,-28,4
,12,14,16
,34,44,4
,36,40,4
,38,24,-8
,38,48,4
,42,22,0
,44,48,0
,48,-56,42
,48,22,8
,50,12,-12
,50,30,28
,52,-2,48
,52,26,4
,52,8,-12
,54,-36,4
,54,18,-8
,56,14,-12
,62,-56,40
,66,-52,4
,68,-54,8
,72,-30,-4
12070056_4,-36,30,20
,-38,-40,12
,-38,26,24
,-42,-2,36
,-44,28,24
,-46,-6,36
,-46,32,20
,-46,40,16
,-46,54,0
,-48,36,20
,-48,52,8
,-50,-2,32
,-50,-8,36
,-52,0,28
,-52,20,32
,-52,34,-4
,-54,-4,32
,-54,16,36
,-56,24,8
,-58,14,4
,-58,18,8
,36,46,0
12070056_5,-28,18,-12
,-34,26,-8
,-38,8,32
,-42,10,28
,-48,14,24
,-50,8,-4
,-56,-4,4
,-58,-18,0
,-58,-38,8
,-64,-28,4
,54,-36,4
12070056_6,-42,14,0
,-44,-72,-4
,-44,26,28
,-44,8,32
,-46,-68,-8
,-48,-4,36
,-48,-44,60
,-50,-32,0
,-52,-64,-8
,-56,-54,-8
,-56,-64,-12
,-62,-38,4
,50,-46,52
,58,-36,-4
,64,-22,8
12100062_1,-15,-101,-5
,-16,-15,3
,-17,-57,-21
,-17,-67,-4
,-19,-4,12
,-19,-80,52
,-22,-6,48
,-22,-71,-15
,-22,-80,37
,-24,-64,45
,-24,-90,-23
,-26,-64,62
,-26,-81,25
,-27,-96,-4
,-27,10,8
,-29,-33,-32
,-3,-107,-10
,-31,-1,6
,-32,-12,13
,-33,-73,-23
,-34,-51,46
,-36,-26,10
,-36,-8,-27
,-36,25,0
,-37,-55,58
,-37,-87,-10
,-38,-21,-2
,-4,-86,10
,-4,3,60
,-41,-54,-20
,-42,22,22
,-43,-40,38
,-43,-67,-7
,-44,5,26
,-47,-14,36
,-48,-42,12
,-49,32,-2
,-50,9,-4
,-51,27,12
,-52,45,5
,-55,-8,27
,-56,-9,-2
,-57,-8,44
,-6,-20,-7
,-6,16,28
,-6,2,32
,-60,-14,13
,-67,-12,3
,-8,-8,37
,12,23,17
,13,-76,12
,16,-21,-1
,16,-65,-41
,17,15,30
,19,-1,7
,19,-76,44
,2,-57,-19
,20,-27,52
,21,-79,30
,22,-51,-21
,24,-57,-51
,24,-98,-3
,25,-12,16
,25,-74,-16
,28,-67,52
,28,-72,27
,29,-88,-5
,30,-26,9
,30,-82,13
,30,12,0
,31,-26,-33
,31,-3,49
,33,-13,-10
,33,-3,-21
,34,-55,48
,34,-58,-26
,37,-63,-6
,38,-19,60
,38,-91,-14
,43,-83,-1
,45,10,20
,47,29,4
,49,-56,-14
,49,-76,-14
,50,-45,-11
,50,14,-6
,51,-30,5
,53,-15,52
,54,9,31
,56,-9,40
,58,-11,-5
,59,-8,25
,62,-67,-11
,63,-6,12
,7,10,26
,8,-100,-8
,9,-67,-2
12100062_3,-13,6,2
,-18,-80,60
,-2,9,53
,-20,-87,51
,-24,-80,24
,-24,-86,39
,-27,-47,39
,-27,-62,45
,-28,-94,31
,-3,26,48
,-31,-94,16
,-33,-3,44
,-34,13,3
,-37,-66,61
,-37,-78,-5
,-38,-45,40
,-38,-54,52
,-42,1,28
,-43,17,21
,-44,-58,-10
,-44,17,-2
,-46,-54,61
,-50,-38,43
,-52,6,19
,-54,-78,-8
,-55,-30,37
,-57,13,9
,-7,-16,0
,-8,15,38
,-8,27,24
,12,25,20
,13,-12,-5
,15,16,65
,16,-1,-1
,16,-81,55
,2,-23,-1
,2,-25,-15
,20,-68,53
,27,-80,54
,28,-63,58
,28,-88,42
,29,-2,48
,29,-75,35
,30,-81,19
,31,-61,45
,32,16,2
,36,24,18
,37,-1,34
,40,-55,59
,40,-88,18
,44,-42,39
,45,26,-15
,45,27,29
,48,18,-6
,49,9,27
,50,24,7
,54,-9,40
,55,19,-15
,62,15,3
,9,19,41
12100062_5,-24,-70,40
,-28,-62,61
,-29,20,-2
,-31,12,8
,-35,-47,37
,-37,18,19
,-40,-54,51
,-42,0,44
,-44,23,2
,-44,6,26
,-49,14,-1
,-5,-21,-7
,-51,36,12
,-52,-41,45
,-52,10,19
,-53,4,36
,-55,27,5
,-8,15,30
,1,-27,-24
,3,11,50
,32,14,-6
,35,25,-8
,4,-25,-3
,43,25,2
,47,11,25
,47,15,-6
,48,25,14
,5,25,34
,54,28,24
,56,10,41
,9,19,41
12100075_1,-14,-70,44
,-26,-60,44
,-32,22,-2
,-4,14,54
,-40,-4,50
,-44,8,34
,14,-82,-10
,14,70,-10
,34,22,-2
,46,10,26
13020013_2,-18,-37,24
,-18,33,14
,-31,-65,43
,-33,3,37
,-54,19,33
,0,17,-7
,38,27,-17
,39,-53,50
,41,-48,43
13020013_3,-12,20,-8
,-16,46,-9
,-22,-37,31
,-37,-60,56
,-39,24,53
,-44,25,26
,-44,5,28
,-46,-47,51
,35,26,-13
13020018_12,-12,-4,60
,-12,-72,36
,-20,-72,40
,-24,-64,36
,-24,-72,20
,-28,-24,4
,-28,-52,36
,-28,-76,16
,-28,48,20
,-32,-8,44
,-32,52,24
,-36,-84,4
,-36,20,-4
,-36,40,32
,-40,-72,0
,-40,-80,0
,-40,0,32
,-40,32,40
,-44,-40,40
,-48,-68,-4
,-52,-60,-8
,-56,-36,24
,-56,-44,44
,-56,-48,32
,-56,-48,4
,-64,-28,24
,0,28,32
,0,32,24
,12,-8,4
,12,-8,56
,12,0,68
,16,-72,40
,16,8,4
,24,-64,40
,24,12,-8
,28,-4,64
,28,-48,36
,28,-64,32
,28,-68,20
,28,-8,44
,28,0,48
,28,64,0
,32,-52,40
,32,-60,40
,32,-80,4
,32,24,8
,32,36,28
,32,4,44
,32,48,32
,36,-4,56
,36,-72,16
,36,-84,8
,36,20,24
,36,36,36
,36,60,-4
,4,24,36
,4,8,44
,40,-52,56
,40,20,0
,40,8,32
,48,-32,-4
,48,-52,40
,48,-76,4
,48,16,-4
,48,32,32
,48,4,48
,48,8,24
,52,-24,-16
,52,-36,24
,52,-48,-12
,52,-48,0
,52,-48,32
,52,-64,-4
,56,-32,36
,60,-40,16
,60,-40,40
,60,-44,8
,64,-44,24
,8,-4,64
,8,-68,56
,8,16,36
13020018_14,-12,-72,36
,-20,-68,40
,-20,-8,60
,-28,-64,36
,-28,24,-8
,-32,52,28
,-36,36,36
,-4,8,48
,-40,0,32
,-40,16,4
,-40,48,16
,-44,-4,44
,-44,4,20
,-56,-44,20
,-56,-44,36
,-56,-48,8
,-60,-52,32
,-64,-52,20
,-8,28,20
,0,-20,-12
,12,12,4
,16,8,8
,20,-72,36
,20,0,8
,20,4,68
,24,-4,60
,28,-68,56
,28,52,24
,32,-72,20
,32,20,0
,36,-4,48
,36,-52,36
,36,24,36
,36,44,28
,4,12,48
,4,28,36
,4,28,52
,40,-4,60
,40,0,32
,40,0,44
,40,16,48
,40,32,32
,40,52,20
,44,-52,36
,44,-72,8
,44,0,56
,48,-24,-12
,48,-40,4
,48,-60,0
,48,16,8
,48,28,28
,48,8,28
,52,-44,48
,52,-56,40
,52,16,28
,52,20,20
,56,-28,-16
,56,-40,28
,56,-44,36
,56,-48,28
,60,-24,-12
,60,-4,8
,64,-44,16
,8,-16,8
,8,16,40
,8,32,24
13030022_3,-41,10,30
,-53,16,21
,-53,28,30
13030022_8,-32,-63,45
,-35,-63,39
,-38,-54,54
,-38,13,36
,-38,4,30
,-44,43,18
,-47,10,18
,-47,31,21
,-5,13,60
,38,-54,48
13030026_1,-10,-16,8
,-10,-28,-6
,-14,-94,-12
,-16,-74,24
,-2,2,70
,-22,-6,-2
,-34,-10,-20
,-34,30,-24
,-38,-84,-6
,-40,-66,-30
,-42,6,30
,-46,-18,44
,-46,0,48
,-54,-38,0
,-54,-8,-20
,-56,28,14
,-58,-14,14
,-58,0,-16
,-6,18,38
,-60,-12,40
,0,-54,-38
,10,-94,-4
,12,-6,10
,2,-36,28
,20,-10,-2
,22,-28,-2
,26,-2,-18
,26,36,-20
,28,-98,-12
,34,8,58
,36,-70,-26
,38,48,22
,40,-82,-4
,46,40,32
,58,12,-14
,8,16,46
13030027_3,-26,-30,-8
,-36,-90,-8
,-40,6,32
,-44,20,18
,-54,32,-6
,28,-96,6
,28,22,18
13030027_4,-40,6,28
,-54,-32,30
,50,12,26
,6,-92,-4
13070051_1,-42,14,28
,46,-44,44
13070059_5,-14,-76,-10
,-30,30,2
,-36,10,32
,-4,6,58
,2,-52,-28
,22,10,8
,24,-68,-6
,46,-32,2
,6,-86,2
,8,-8,-6
13080073_5,-24,-21,5
,-26,56,-11
,-40,11,31
,24,9,27
,34,53,7
,38,47,11
,50,-52,52
13080076_5,-10,46,-14
,-12,52,24
,-14,6,-8
,-22,-76,46
,-28,-48,-18
,-36,14,24
,-4,42,-10
,-42,32,8
,-48,12,-30
,-64,-16,0
,14,-68,10
,2,38,14
,26,-16,-4
,36,-64,48
,42,46,-6
14010007_1,-33,47,12
,-39,-37,46
,-41,13,25
,-46,45,-7
,-48,22,21
,-48,25,21
,-58,-41,37
,-58,-55,15
,-9,8,46
,23,-68,11
,31,-58,-26
,44,47,12
,48,13,18
,50,23,30
,51,-30,48
,55,-30,1
,63,-7,46
14010015_2,-15,-93,-12
,-21,-33,-3
,-24,-3,45
,-27,24,3
,-30,-72,-21
,-39,-51,-30
,-39,-54,-30
,-42,-78,0
,-42,9,30
,-45,-66,-15
,-6,12,42
,15,-96,-6
,33,21,0
,48,12,27
14010015_3,-12,-96,-15
,-24,-72,30
,-27,-60,-48
,-27,24,0
,-42,-72,-9
,-42,9,30
,-9,12,42
,33,-60,42
,33,33,-6
,45,-75,-15
,45,15,24
14010015_4,-12,-9,0
,-24,-6,45
,-24,-69,36
,-27,-75,42
,-30,24,0
,-42,12,24
,-45,-69,-9
,-6,12,42
,30,-54,45
,30,24,0
14010015_6,-24,-78,36
,-3,15,51
,-45,9,27
,6,21,42
14050053_1,-30,10,12
,-32,-50,48
,-38,8,34
,-48,6,44
,-52,-50,14
,-54,12,18
,-6,-22,6
,-8,-46,-18
,10,20,42
,12,-66,64
,14,8,42
,16,-48,-44
,32,44,10
,34,-56,60
,38,-48,46
,44,24,2
,46,-28,6
,60,-32,50
14050061_7,-12,4,6
,-14,-12,34
,-14,-60,60
,-14,-62,-20
,-14,-64,-12
,-14,-76,60
,-18,-76,36
,-20,-48,-24
,-20,-92,10
,-20,-92,32
,-20,18,48
,-22,-32,-32
,-24,-52,4
,-24,-58,-10
,-26,-56,32
,-26,10,44
,-28,-46,48
,-28,-90,24
,-30,-40,-30
,-4,0,6
,-42,0,40
,-42,12,40
,-42,24,30
,-44,-42,38
,-50,-26,36
,-50,10,36
,-54,22,32
,-56,-20,46
,-8,-68,58
,-8,14,42
,10,-56,-22
,12,-70,-18
,12,-72,52
,14,0,54
,2,-62,-20
,24,-38,-20
,24,-8,-14
,26,-26,-10
,26,-52,-24
,28,-50,48
,28,-8,-4
,30,-10,48
,30,-62,-20
,32,-44,-22
,34,32,26
,36,-60,44
,38,-6,50
,38,24,48
,4,-2,6
,42,24,40
,42,30,20
,42,4,22
,42,48,28
,42,6,52
,44,-52,-16
,46,18,50
,48,-30,28
,50,-18,32
,54,10,44
,58,2,34
,64,-20,28
,64,-22,38
,64,-30,42
,8,26,48
14050067_1,-10,-70,52
,-10,18,42
,-14,-12,14
,-14,0,26
,-28,-72,38
,-30,26,-2
,-36,18,2
,-38,-60,-32
,-4,22,12
,-4,8,66
,-40,40,38
,-42,10,30
,-44,-44,44
,-46,4,40
,-8,20,52
,0,-2,8
,0,-28,14
,0,-76,4
,10,18,52
,12,8,18
,14,26,26
,18,6,27
,20,-30,2
,26,18,26
,28,-66,38
,32,-60,-30
,32,-70,-54
,36,-46,46
,36,-54,54
,38,42,26
,48,34,38
,52,24,28
,6,24,10
,64,14,-38
14050067_5,-14,-74,-28
,-26,-52,-34
,-34,16,6
,-40,6,28
,-42,-66,-40
,-48,-46,-42
,-6,-56,-34
,22,-62,-32
14050077_3,-34,-2,34
14090170_1,-1,26,19
,-11,12,6
,-12,-79,9
