BMID_Experiment,X,Y,Z
,-42,-68,-12
,26,-85,-5
,54,15,23
,54,19,28
30227_9,-39,-36,53
,-41,-3,50
,-41,1,38
,-45,19,-1
,-51,-41,29
,29,-61,-14
,47,8,36
,5,3,55
,50,-36,3
,51,-28,39
,57,12,23
30236_1,-36,-4,40
,-40,0,56
,-44,-44,36
,-44,-60,-20
,-48,-56,48
,-56,12,36
,-8,16,52
,32,0,64
,36,-72,-36
,36,4,32
30301_1,-21,29,35
,-3,-20,2
,-37,-71,-12
,-37,15,5
,-37,7,25
,-38,17,-25
,-41,-36,53
,-42,-5,-30
,-45,11,-12
,-49,4,37
,13,-86,1
,13,41,-22
,35,-72,-6
,35,10,-25
,36,-63,35
,40,-72,-25
,44,-49,-21
,47,-35,40
,47,-46,9
,47,1,-12
,47,8,29
,47,9,-1
,6,-77,25
30328_3,-46,8,28
30344_1,-35,14,22
,-37,14,26
,-39,18,19
,-39,21,30
,-44,26,19
,-44,7,25
,-44,9,22
30344_2,-33,27,7
,-33,8,29
,-35,11,15
,-35,25,10
,-39,14,33
,-41,21,33
,-42,27,10
,-46,20,22
30344_6,-27,16,26
,-31,22,17
,-31,22,23
,-35,15,40
,-35,8,31
,-39,16,26
,-39,28,16
,-42,11,18
30347_1,-16,-92,-12
,-24,-94,-6
,-28,-72,50
,-34,-42,-36
,-34,-6,-40
,-36,-44,-28
,-36,-92,-10
,-36,26,-6
,-42,24,0
,-42,24,2
,-42,48,-14
,-44,-54,-20
,-44,8,28
,-46,20,-6
,-46,30,16
,-50,16,22
,-52,-48,-2
,-6,-2,62
,10,-62,-14
,12,-78,-44
,18,-92,-10
,24,-98,-4
,26,-50,-38
,34,-46,-40
,34,-90,-14
,42,-46,-38
30347_3,-10,-70,50
,-20,-68,46
,-24,-72,36
,-30,-60,-44
,-30,20,-8
,-38,-2,44
,-38,34,20
,-42,-40,46
,-42,0,28
,-42,34,12
,-42,36,30
,-48,-66,-20
,-50,-54,-20
,-50,-66,-10
,-50,6,24
,-52,-48,54
,-56,-44,46
,24,52,-8
,28,-68,44
,34,-64,36
,36,24,-8
,4,16,54
,4,28,46
,42,-58,-10
,42,2,28
,44,-56,52
,44,36,26
,46,-44,44
,46,28,-16
,46,42,14
,52,-56,-16
,52,-56,-26
,52,-60,48
,6,36,42
30351_2,-13,-14,64
,-20,-58,14
,-23,-8,66
,-26,-74,16
,-26,30,35
,-28,-18,50
,-28,55,31
,-29,-14,53
,-29,-63,28
,-35,-32,60
,-35,-6,10
,-35,-80,-27
,-37,-14,62
,-37,-78,-16
,-39,-4,32
,-45,-12,50
,-5,-6,54
,-50,-6,24
,-52,-1,26
,-52,-31,20
,-6,-16,71
,-66,-51,19
,-7,11,42
,14,-19,9
,22,38,32
,23,33,-14
,29,-59,-17
,30,-65,-27
,38,24,34
,40,18,20
,42,-48,13
,42,-81,25
,44,13,42
,44,36,25
,6,-13,71
,6,-43,36
,6,14,37
,6,9,29
,8,5,69
30366_1,-25,39,-17
,-28,-54,42
,-3,24,33
,-31,21,-2
,-33,50,13
,-37,8,27
,-9,9,57
,22,37,-13
,25,19,-2
,3,-7,-4
30372_1,-26,-59,51
,-30,0,60
,-33,23,3
,-40,2,29
,-44,29,38
,-49,2,44
,-49,8,13
,15,14,55
,20,4,21
,36,-54,48
,41,43,29
,47,10,29
30376_1,-33,15,30
,-36,2,55
,-39,35,16
,-41,12,24
,-45,13,0
,-48,13,37
,-5,-49,35
,47,20,-2
,5,17,54
30383_1,-18,55,22
,-31,-36,-18
,-42,13,26
30387_7,-14,17,-6
,-24,23,1
,-39,-35,38
,-39,-61,-24
,-43,11,30
,-43,32,10
,-59,16,16
,12,23,3
,2,20,47
,37,26,2
,41,-38,39
,41,-56,-20
,44,51,17
30418_1,-15,1,63
,-29,2,27
,-29,20,7
,-42,19,26
,-44,-44,14
,-46,-37,0
,-9,-5,68
,0,5,58
30427_1,-14,-19,2
,-14,-86,-11
,-29,-92,-13
,-31,-53,-32
,-32,-46,46
,-36,-90,-8
,-38,-32,49
,-38,16,-5
,-4,10,48
,-4,14,34
,-40,20,10
,-40,26,-9
,-42,-54,-16
,-43,0,33
,-44,-49,-3
,-44,4,16
,-47,1,18
,-60,-15,24
,12,-82,-8
,23,-2,4
,26,-84,-12
,30,-55,46
,36,-62,-28
,36,-82,-21
,39,13,5
,41,-84,-14
,45,25,16
,52,-63,-12
,6,10,52
30435_4,-41,8,27
,-44,-55,-8
,-50,-8,46
,-59,-18,-2
,48,15,-19
30435_6,-44,10,27
,-7,-7,5
,-9,-15,6
,6,21,25
30444_3,-2,13,39
,-21,-64,42
,-26,-1,52
,-36,-50,43
,-38,4,26
,-39,-55,-49
,-40,-75,-13
,-41,-59,-19
,-5,-17,2
,-53,-5,35
,0,-75,-36
,14,-14,5
,23,-64,-47
,24,-66,-23
,31,7,55
,34,-59,43
,36,-55,-36
,39,-47,44
,39,-59,-24
,4,-54,-22
,46,56,15
,48,36,25
30446_2,-2,-72,-14
,-22,-18,16
,-26,-88,2
,-34,-56,48
,-34,-72,0
,-34,26,10
,-36,-46,-12
,-40,-54,-2
,-40,12,28
,-42,-48,16
,-44,-4,44
,-48,14,24
,10,-70,-14
,2,-66,-20
,40,-56,-10
30447_2,-2,28,57
,-21,-62,56
,-22,12,55
,-25,56,7
,-37,-49,50
,-37,11,1
,-38,21,46
,-4,26,27
,-40,-55,48
,-40,0,41
,-43,30,31
,-46,25,13
,-48,-58,-11
,-5,-62,55
,-50,-54,7
,10,-42,37
,10,35,19
,22,-54,60
,23,57,-5
,25,8,59
,35,-49,48
,39,17,46
,41,6,-1
,43,37,29
,44,-49,45
,44,25,10
,45,-1,40
,54,-42,2
,6,25,48
,7,-57,55
30461_1,-30,66,43
,-31,-16,0
,-33,86,-19
,-38,-14,-2
,-42,-4,32
,-43,12,55
,-60,36,13
,1,79,37
,11,84,-40
,34,93,-20
,4,42,-8
,7,-12,46
30463_1,-24,-67,46
,-35,-50,50
,-35,24,21
,-43,-44,51
,-44,6,36
,1,16,44
,44,13,41
5040007_1,-20,-48,76
,-22,2,68
,-26,-64,-18
,-36,0,58
,-38,8,22
,-4,10,50
,-44,-32,62
,-52,-38,32
,-54,4,44
,26,-72,60
,28,-46,-36
,32,-42,50
,34,24,-8
,4,-78,-18
,58,8,46
,66,-26,26
5040009_2,-10,-70,60
,-28,-78,34
,-38,2,36
,-40,42,14
,-48,-64,-10
,-48,12,20
,-52,-36,42
,12,-58,62
,14,-76,18
5040011_1,-14,-74,56
,-16,14,4
,-26,-68,34
,-26,-86,30
,-30,-64,48
,-34,-52,44
,-36,20,-2
,-38,2,30
,-44,-46,46
,-44,16,30
,-46,4,30
,-50,30,23
,-8,-22,10
,-8,20,42
,10,-10,4
,12,12,3
,16,-76,44
,3,26,46
,30,-56,52
,31,-66,28
,32,12,54
,34,-46,44
,34,22,2
,35,-74,24
,4,14,50
,41,12,40
,42,30,28
,48,14,28
,6,-16,10
,8,-10,8
5040011_3,-24,-68,44
,-26,-10,4
,-28,-60,50
,-36,14,26
,20,-11,50
,40,-64,14
5040024_1,-10,5,41
,-35,21,-10
,-42,0,34
,-43,-56,-11
,45,-34,3
5040024_3,-31,21,-10
,-39,0,34
,-43,-56,-11
,54,-30,2
