"age_in_years","sex","mu","sigma","nu","tau","C2.5","C5","C25","C50","C75","C95","C97.5","growth_rate"
80.1,"female",0.8492563962672,0.0470379145556507,0.00480785768823541,1.03533727271897,0.759384537262925,0.773567988667807,0.817936769380359,0.849482548679143,0.881115145865207,0.925783979516152,0.940081502717027,-0.0202487291602185
80.2,"female",0.847232056425963,0.0470354851930719,0.00480785768823541,1.03533727271897,0.757364839024813,0.771547557898365,0.815914047100833,0.847458197157835,0.879089160618242,0.923755687262298,0.938052472040389,-0.0202382995848541
80.3,"female",0.845208759111306,0.0470331804315015,0.00480785768823541,1.03533727271897,0.755345945247362,0.769527969160816,0.813892284383811,0.845434888762172,0.877064302290039,0.921728640252642,0.936024724481349,-0.0202278666472985
80.4,"female",0.843186504656975,0.0470310007853178,0.00480785768823541,1.03533727271897,0.753327855281538,0.767509221961226,0.811871481220548,0.843412623828376,0.875040571562736,0.919702839657792,0.933998261366866,-0.020217430347508
80.5,"female",0.84116529339672,0.0470289467697963,0.00480785768823541,1.03533727271897,0.751310568476588,0.765491315804215,0.809851637601702,0.841391402692671,0.873017969119075,0.917678286649815,0.931973084025629,-0.0202069906854413
80.6,"female",0.839145125664288,0.0470270189011231,0.00480785768823541,1.03533727271897,0.749294084180023,0.76347425019294,0.807832753517325,0.839371225691288,0.870996495642418,0.91565498240226,0.929949193788083,-0.0201965476610552
80.7,"female",0.837126001793428,0.0470252176964094,0.00480785768823541,1.03533727271897,0.747278401737585,0.76145802462907,0.805814828956853,0.83735209316046,0.86897615181675,0.91363292809018,0.927926591986464,-0.0201861012743051
80.8,"female",0.835107922117886,0.0470235436737053,0.00480785768823541,1.03533727271897,0.745263520493221,0.759442638612759,0.803797863909096,0.835334005436426,0.866956938326697,0.911612124890157,0.925905279954817,-0.0201756515251442
80.9,"female",0.833090886971412,0.047021997352014,0.00480785768823541,1.03533727271897,0.743249439789058,0.757428091642633,0.80178185836223,0.833316962855431,0.864938855857525,0.909592573980323,0.923885259029029,-0.0201651984135262
81,"female",0.831074896687753,0.0470205792513064,0.00480785768823541,1.03533727271897,0.741236158965375,0.755414383215757,0.799766812303788,0.831300965753721,0.862921905095159,0.907574276540384,0.921866530546857,-0.0201547419394044
81.1,"female",0.829059951600658,0.0470192898925349,0.00480785768823541,1.03533727271897,0.739223677360575,0.753401512827618,0.797752725720647,0.82928601446755,0.860906086726188,0.905557233751644,0.91984909584795,-0.0201442821027328
81.2,"female",0.827046052043873,0.0470181297976484,0.00480785768823541,1.03533727271897,0.737211994311157,0.751389479972099,0.795739598599021,0.827272109333175,0.858891401437875,0.903541446797027,0.917832956273882,-0.0201338189034603
81.3,"female",0.825033198351149,0.047017099489606,0.00480785768823541,1.03533727271897,0.735201109151689,0.749378284141459,0.793727430924455,0.825259250686858,0.85687784991817,0.901526916861101,0.915818113168181,-0.0201233523415387
81.4,"female",0.823021390856232,0.0470161994923922,0.00480785768823541,1.03533727271897,0.733191021214781,0.747367924826305,0.791716222681804,0.823247438864867,0.854865432855712,0.899513645130102,0.91380456787635,-0.0201128824169208
81.5,"female",0.821010629892871,0.0470154303310314,0.00480785768823541,1.03533727271897,0.731181729831056,0.745358401515572,0.789705973855239,0.821236674203474,0.852854150939851,0.897501632791959,0.911792321745903,-0.0201024091295554
81.6,"female",0.819000915794813,0.0470147925316021,0.00480785768823541,1.03533727271897,0.729173234329122,0.743349713696498,0.787696684428222,0.819226957038956,0.850844004860645,0.895490881036314,0.909781376126389,-0.0200919324793911
81.7,"female",0.816992248895806,0.0470142866212525,0.00480785768823541,1.03533727271897,0.727165534035545,0.741341860854601,0.785688354383507,0.817218287707596,0.84883499530888,0.89348139105455,0.90777173236942,-0.020081452466372
81.8,"female",0.8149846295296,0.0470139131282143,0.00480785768823541,1.03533727271897,0.72515862827482,0.739334842473655,0.783680983703126,0.815210666545681,0.846827122976077,0.891473164039815,0.905763391828704,-0.0200709690904507
81.9,"female",0.812978058029941,0.0470136725818186,0.00480785768823541,1.03533727271897,0.723152516369341,0.737328658035663,0.781674572368377,0.813204093889505,0.844820388554497,0.889466201187042,0.903756355860069,-0.0200604823515763
82,"female",0.810972534730577,0.0470135655125102,0.00480785768823541,1.03533727271897,0.721147197639374,0.735323307020839,0.779669120359819,0.811198570075366,0.842814792737159,0.887460503692979,0.901750625821495,-0.0200499922496878
82.1,"female",0.808968059965258,0.047013592451863,0.00480785768823541,1.03533727271897,0.719142671403029,0.73331878890758,0.777664627657257,0.809194095439568,0.840810336217847,0.885456072756209,0.899746203073142,-0.0200394987847333
82.2,"female",0.80696463406773,0.0470137539325951,0.00480785768823541,1.03533727271897,0.717138936976228,0.731315103172438,0.775661094239736,0.807190670318419,0.838807019691116,0.883452909577178,0.897743088977377,-0.0200290019566593
82.3,"female",0.804962257371743,0.0470140504885838,0.00480785768823541,1.03533727271897,0.71513599367268,0.729312249290105,0.773658520085527,0.805188295048236,0.836804843852311,0.881451015358216,0.895741284898809,-0.0200185017654111
82.4,"female",0.802960930211043,0.0470144826548812,0.00480785768823541,1.03533727271897,0.713133840803848,0.727310226733379,0.771656905172121,0.803186969965337,0.834803809397569,0.879450391303565,0.893740792204311,-0.0200079982109261
82.5,"female",0.800960652919379,0.0470150509677291,0.00480785768823541,1.03533727271897,0.711132477678924,0.725309034973145,0.769656249476217,0.801186695406051,0.832803917023836,0.877451038619406,0.89174161226306,-0.0199974912931506
