Name parcel,Strength of involvement across LCs 1-3,"MNI coordinates(x,y,z)",,
17Networks_RH_DorsAttnB_PostC_6,13.27,8,-54,60
17Networks_RH_DorsAttnB_FEF_2,13.13,28,-4,52
17Networks_RH_DorsAttnB_PostC_2,13.03,58,-22,44
17Networks_LH_DorsAttnB_PostC_7,12.74,-8,-58,64
17Networks_LH_VisCent_ExStr_7,12.66,-46,-74,6
17Networks_LH_DefaultA_PFCd_2,12.62,-18,36,48
17Networks_LH_ContC_Cingp_2,12.61,-4,-22,30
17Networks_RH_DefaultA_PFCm_2,12.60,10,66,0
17Networks_RH_ContC_Cingp_2,12.59,6,-28,28
17Networks_RH_VisCent_ExStr_7,12.56,36,-88,2
17Networks_LH_DefaultA_PFCm_5,12.46,-16,68,8
17Networks_LH_ContC_pCun_1,12.22,-10,-70,32
17Networks_LH_VisCent_ExStr_1,12.16,-36,-62,-16
17Networks_RH_DefaultA_PFCm_1,12.09,6,42,-10
17Networks_RH_ContC_pCun_2,11.83,14,-72,40
17Networks_LH_ContC_Cingp_1,11.69,-6,-40,24
17Networks_LH_VisCent_ExStr_2,11.65,-24,-72,-10
17Networks_LH_DefaultA_IPL_1,11.49,-48,-64,32
17Networks_LH_DefaultA_pCunPCC_2,11.47,-6,-60,30
17Networks_RH_DefaultA_pCunPCC_1,11.46,6,-52,24
17Networks_LH_VisCent_ExStr_11,10.79,-26,-84,22
17Networks_LH_VisCent_ExStr_6,10.60,-42,-86,-4
17Networks_LH_DorsAttnB_FEF_3,10.39,-30,-8,52
17Networks_RH_ContC_Cingp_1,10.25,8,-44,20
17Networks_RH_VisCent_ExStr_5,10.19,42,-84,-12
17Networks_LH_VisCent_ExStr_10,10.14,-10,-96,18
17Networks_RH_ContC_pCun_1,10.13,16,-64,28
17Networks_RH_VisCent_ExStr_9,10.11,44,-78,10
Pallidum_Left,10.10,,,
17Networks_RH_DefaultA_PFCm_6,10.09,6,26,18
17Networks_LH_DefaultA_PFCm_2,10.06,-6,36,-8
17Networks_LH_DefaultA_pCunPCC_1,9.99,-4,-54,20
17Networks_RH_DefaultA_pCunPCC_2,9.98,4,-64,32
17Networks_LH_ContC_pCun_2,9.82,-10,-78,46
17Networks_RH_VisCent_ExStr_4,9.67,20,-88,-12
17Networks_LH_VisCent_ExStr_3,9.47,-36,-82,-16
17Networks_LH_VisCent_ExStr_9,9.42,-40,-84,14
DiencephalonVentral_Left,9.41,,,
Putamen_Left,9.34,,,
17Networks_LH_DorsAttnB_FEF_1,9.03,-40,-2,52
17Networks_LH_VisCent_ExStr_8,8.86,-24,-96,6
17Networks_LH_DefaultA_PFCm_1,8.61,-4,56,-10
17Networks_RH_DorsAttnB_FEF_1,8.55,40,-4,52
17Networks_LH_DorsAttnB_FEF_2,8.49,-26,0,56
17Networks_LH_DefaultA_pCunPCC_7,8.37,-6,-50,42
17Networks_LH_DorsAttnB_PrCv_1,8.08,-50,2,38
17Networks_RH_VisCent_ExStr_6,7.93,26,-96,-10
17Networks_RH_DorsAttnB_PostC_3,7.49,44,-38,50
Cerebellum_Right,7.38,,,
17Networks_RH_ContC_pCun_3,7.27,6,-64,44
17Networks_LH_VisCent_ExStr_4,7.18,-16,-86,-16
17Networks_LH_DorsAttnB_PostC_1,7.07,-62,-24,32
17Networks_LH_VisPeri_ExStrSup_3,6.56,-12,-72,20
17Networks_RH_VisPeri_ExStrSup_1,6.55,16,-66,18
17Networks_LH_VisCent_ExStr_5,6.55,-24,-96,-12
17Networks_RH_VisCent_ExStr_8,6.46,24,-98,8
17Networks_RH_VisPeri_ExStrInf_4,6.37,14,-58,-4
17Networks_RH_VisPeri_ExStrSup_4,6.24,16,-86,36
17Networks_RH_VisCent_Striate_1,6.23,8,-92,-2
17Networks_LH_VisCent_Striate_1,6.20,-8,-98,-8
17Networks_RH_VisPeri_StriCal_2,5.99,22,-60,6
17Networks_RH_DorsAttnB_TempOcc_1,5.98,60,-54,-2
17Networks_LH_ContC_pCun_3,5.92,-4,-64,52
17Networks_RH_VisPeri_ExStrInf_5,5.92,18,-44,-2
17Networks_LH_VisPeri_ExStrInf_2,5.87,-12,-62,-4
17Networks_RH_VisPeri_ExStrSup_2,5.77,4,-80,24
17Networks_RH_VisPeri_ExStrInf_3,5.70,10,-72,-6
17Networks_RH_ContC_pCun_4,5.55,8,-50,44
17Networks_RH_VisPeri_ExStrSup_3,5.55,14,-78,34
17Networks_LH_VisPeri_ExStrSup_5,5.52,-12,-82,36
17Networks_LH_VisPeri_ExStrSup_4,5.49,-16,-88,34
17Networks_LH_VisPeri_ExStrSup_2,5.31,-2,-84,24
17Networks_LH_DorsAttnB_PostC_3,5.25,-54,-32,44
17Networks_LH_VisPeri_ExStrInf_3,5.06,-6,-76,-6
17Networks_LH_VisPeri_ExStrInf_1,5.04,-24,-54,-8
17Networks_LH_VisPeri_ExStrInf_5,4.87,-14,-56,2
Cerebellum_Left,4.77,,,
17Networks_RH_VisPeri_ExStrInf_1,4.76,26,-52,-8
Thalamus_Left,4.74,,,
17Networks_RH_ContC_pCun_5,4.59,8,-72,52
17Networks_LH_VisPeri_ExStrInf_4,4.11,-14,-44,-6
17Networks_LH_VisPeri_ExStrSup_1,3.95,-18,-64,6
17Networks_LH_VisPeri_StriCal_2,2.70,-8,-74,10
17Networks_RH_VisPeri_StriCal_1,2.56,10,-74,8
17Networks_LH_VisPeri_StriCal_1,2.53,-4,-88,2
17Networks_RH_VisPeri_ExStrInf_2,2.06,18,-36,-12
17Networks_LH_DorsAttnA_TempOcc_1,0.00,-44,-42,-22
17Networks_LH_DorsAttnA_TempOcc_2,0.00,-32,-42,-20
17Networks_LH_DorsAttnA_TempOcc_3,0.00,-48,-56,-16
17Networks_LH_DorsAttnA_TempOcc_4,0.00,-46,-70,-8
17Networks_LH_DorsAttnA_ParOcc_1,0.00,-48,-66,16
17Networks_LH_DorsAttnA_ParOcc_2,0.00,-32,-84,26
17Networks_LH_DorsAttnA_SPL_1,0.00,-26,-70,30
17Networks_LH_DorsAttnA_SPL_2,0.00,-22,-78,44
17Networks_LH_DorsAttnA_SPL_3,0.00,-22,-66,46
