ROI Label,ROI Name,R,A,S
157,7networks_RH_SalVentAttn_IPL_4,58,-44,22
158,7networks_RH_Default_PCC_1,6,-36,36
159,7networks_RH_Default_PCC_2,8,-56,34
160,7networks_RH_Default_PCC_3,6,-54,24
161,7networks_RH_Default_PFCd_1,30,22,50
162,7networks_RH_Default_PFCd_2,22,36,46
163,7networks_RH_Default_PFCd_3,12,46,46
164,7networks_RH_Default_PFCd_4,6,52,24
165,7networks_RH_Default_PFCd_5,22,58,24
166,7networks_RH_Cont_PFCd_2,8,24,56
167,7networks_RH_Cont_PFCl_4,42,18,44
168,7networks_RH_Default_PFCm_1,6,34,18
169,7networks_RH_Default_PFCm_2,8,46,0
170,7networks_RH_Default_PFCm_3,4,34,-12
171,7networks_RH_Default_PFCv_1,34,38,-12
172,7networks_RH_Default_PFCv_2,46,32,-10
173,7networks_RH_Default_PFCv_3,32,22,-18
174,7networks_RH_Cont_PFCv_2,56,22,14
175,7networks_RH_SalVentAttn_PFCv,52,30,2
176,7networks_RH_Default_RSC_1,10,-52,10
177,7networks_RH_Vis_RSC,18,-60,22
178,7networks_RH_Default_TempPole,46,12,-32
179,7networks_RH_Default_Temp_1,50,-34,2
180,7networks_RH_Default_Temp_2,62,-30,-4
181,7networks_RH_Default_Temp_3,50,-22,-6
182,7networks_RH_Default_Temp_4,54,-2,-12
183,7networks_RH_Default_Temp_5,60,-8,-20
184,7networks_RH_Cont_Temp,62,-32,-20
185,7networks_RH_Default_pCun,6,-56,44
186,7networks_RH_Cont_Cingm,4,0,32
187,7networks_RH_Cont_FPole_1,30,56,8
188,7networks_RH_Cont_IPL,58,-42,40
189,7networks_RH_Cont_IPS_1,36,-64,48
190,7networks_RH_Cont_IPS_2,48,-38,48
191,7networks_RH_Cont_IPS_3,46,-52,50
192,7networks_RH_Cont_Ins,34,22,-6
193,7networks_RH_Cont_PCC,6,-30,28
194,7networks_RH_Cont_PFCd_1,24,14,58
195,7networks_RH_Cont_PFCl_1,46,32,24
196,7networks_RH_Cont_PFCl_2,44,18,26
197,7networks_RH_Cont_PFCl_3,42,44,12
198,7networks_RH_DorsAttn_PFCl,38,8,30
199,7networks_RH_Cont_PFCv_1,42,50,-4
200,7networks_RH_Cont_PrC,46,4,46
201,7networks_RH_Cont_TempOcc,62,-46,-10
202,7networks_RH_Cont_pCun,12,-68,36
203,7networks_RH_Cont_FPole_2,26,56,-12
204,7networks_RH_Limbic_OFC_1,10,46,-22
205,7networks_RH_Limbic_OFC_2,6,24,-22
206,7networks_RH_Limbic_OFC_3,24,32,-18
207,7networks_RH_Limbic_OFC_4,16,18,-22
208,7networks_RH_Limbic_PHC,22,-16,-28
209,7networks_RH_SomMot_ST_4,50,6,-8
210,7networks_RH_Limbic_TempPole_1,28,12,-34
211,7networks_RH_Limbic_TempPole_2,32,-4,-40
212,7networks_RH_Limbic_Temp_1,40,-24,-26
213,7networks_RH_Limbic_Temp_2,52,-14,-34
214,7networks_RH_SalVentAttn_FrMed_1,10,2,68
215,7networks_RH_SalVentAttn_FrMed_2,8,8,42
216,7networks_RH_SalVentAttn_FrMed_3,8,26,32
217,7networks_RH_SalVentAttn_FrOper,50,6,4
218,7networks_RH_SalVentAttn_IPL_1,62,-28,40
219,7networks_RH_SalVentAttn_IPL_2,62,-32,24
220,7networks_RH_SalVentAttn_Ins_1,38,16,10
221,7networks_RH_SalVentAttn_Ins_2,34,28,4
222,7networks_RH_SalVentAttn_Ins_3,38,10,0
223,7networks_RH_SalVentAttn_Ins_4,40,-8,-4
224,7networks_RH_SalVentAttn_Ins_5,40,8,-16
225,7networks_RH_SomMot_Ins_5,42,0,14
226,7networks_RH_Cont_PFCl_5,34,42,30
227,7networks_RH_SomMot_PostC,62,-16,32
228,7networks_RH_SalVentAttn_PrCv,50,10,16
229,7networks_RH_SalVentAttn_SPL_1,10,-40,50
230,7networks_RH_SalVentAttn_SPL_2,12,-30,42
231,7networks_RH_SalVentAttn_Temp,56,-46,10
232,7networks_RH_DorsAttn_IPL,44,-76,32
233,7networks_RH_DorsAttn_IPS_1,34,-46,44
234,7networks_RH_DorsAttn_IPS_2,32,-70,34
235,7networks_RH_DorsAttn_PostC_1,38,-34,44
236,7networks_RH_DorsAttn_PostC_2,52,-24,42
237,7networks_RH_DorsAttn_PrCd_1,26,-2,60
238,7networks_RH_DorsAttn_PrCd_2,34,-4,52
239,7networks_RH_DorsAttn_PrCv,54,8,30
240,7networks_RH_DorsAttn_SPL_1,20,-52,68
241,7networks_RH_DorsAttn_SPL_2,8,-56,58
242,7networks_RH_DorsAttn_SPL_3,32,-56,58
243,7networks_RH_DorsAttn_SPL_4,22,-66,56
244,7networks_RH_DorsAttn_TempOcc_1,52,-60,12
245,7networks_RH_DorsAttn_TempOcc_2,58,-58,0
246,7networks_RH_DorsAttn_TempOcc_3,50,-62,-10
247,7networks_RH_DorsAttn_TempOcc_4,48,-48,-18
248,7networks_RH_DorsAttn_pCun,12,-74,50
249,7networks_RH_SomMot_1,6,-20,72
250,7networks_RH_SomMot_10,36,-18,66
251,7networks_RH_SomMot_11,26,-34,68
252,7networks_RH_SomMot_12,8,-14,42
253,7networks_RH_SomMot_13,40,-24,56
254,7networks_RH_SomMot_14,36,-42,62
255,7networks_RH_SomMot_15,46,-10,50
256,7networks_RH_SomMot_16,44,-32,60
257,7networks_RH_SomMot_17,52,-6,40
258,7networks_RH_SomMot_18,54,-16,52
