ROI Index,Label Name,R,A,S
212,17Networks_LH_ContB_IPL_5,-42,-52,50
213,17Networks_LH_ContB_PFCd_1,-28,16,54
214,17Networks_LH_ContB_PFCl_1,-46,20,36
215,17Networks_LH_ContB_PFCl_2,-46,12,40
216,17Networks_LH_ContB_PFClv_1,-40,50,-8
217,17Networks_LH_ContB_PFClv_2,-28,58,-2
218,17Networks_LH_ContB_PFClv_3,-30,56,10
219,17Networks_LH_ContB_PFCmp_1,-4,28,46
220,17Networks_LH_ContC_pCun_1,-10,-70,32
221,17Networks_LH_ContC_pCun_2,-10,-76,42
222,17Networks_LH_ContC_pCun_3,-2,-68,42
223,17Networks_LH_ContC_pCun_4,-6,-70,54
224,17Networks_LH_ContC_pCun_5,-6,-62,50
225,17Networks_LH_ContC_pCun_6,-4,-50,54
226,17Networks_LH_ContC_Cingp_1,-6,-40,24
227,17Networks_LH_ContC_Cingp_2,-4,-22,30
228,17Networks_LH_DefaultA_IPL_1,-46,-64,24
229,17Networks_LH_DefaultA_IPL_2,-48,-68,34
230,17Networks_LH_DefaultA_IPL_3,-38,-74,44
231,17Networks_LH_DefaultA_IPL_4,-44,-64,48
232,17Networks_LH_DefaultA_PFCd_1,-20,40,42
233,17Networks_LH_DefaultA_PFCd_2,-26,28,44
234,17Networks_LH_DefaultA_PFCd_3,-22,24,52
235,17Networks_LH_DefaultA_PCC_1,-6,-46,16
236,17Networks_LH_DefaultA_PCC_2,-4,-54,18
237,17Networks_LH_DefaultA_PCC_3,-4,-66,24
238,17Networks_LH_DefaultA_PCC_4,-6,-56,26
239,17Networks_LH_DefaultA_PCC_5,-4,-42,30
240,17Networks_LH_DefaultA_PCC_6,-4,-62,34
241,17Networks_LH_DefaultA_PCC_7,-4,-32,36
242,17Networks_LH_DefaultA_PCC_8,-2,-16,36
243,17Networks_LH_DefaultA_PCC_9,-12,-50,34
244,17Networks_LH_DefaultA_PCC_10,-4,-38,40
245,17Networks_LH_DefaultA_PCC_11,-6,-58,44
246,17Networks_LH_DefaultA_PCC_12,-6,-48,44
247,17Networks_LH_DefaultA_PFCm_1,-4,56,-10
248,17Networks_LH_DefaultA_PFCm_2,-6,40,-8
249,17Networks_LH_DefaultA_PFCm_3,-12,68,6
250,17Networks_LH_DefaultA_PFCm_4,-6,44,6
251,17Networks_LH_DefaultA_PFCm_5,-22,64,12
252,17Networks_LH_DefaultA_PFCm_6,-6,58,16
253,17Networks_LH_DefaultA_PFCm_7,-2,30,16
254,17Networks_LH_DefaultA_PFCm_8,-8,36,22
255,17Networks_LH_DefaultB_Temp_1,-54,0,-30
256,17Networks_LH_DefaultB_Temp_2,-60,-20,-24
257,17Networks_LH_DefaultB_Temp_3,-52,8,-18
258,17Networks_LH_DefaultB_Temp_4,-60,-10,-14
259,17Networks_LH_DefaultB_Temp_5,-62,-34,-4
260,17Networks_LH_DefaultB_Temp_6,-52,-22,-8
261,17Networks_LH_DefaultB_Temp_7,-50,-34,0
262,17Networks_LH_DefaultB_IPL_1,-46,-56,18
263,17Networks_LH_DefaultB_IPL_2,-48,-54,26
264,17Networks_LH_DefaultB_IPL_3,-60,-54,28
265,17Networks_LH_DefaultB_IPL_4,-50,-60,38
266,17Networks_LH_DefaultB_PFCd_1,-14,62,24
267,17Networks_LH_DefaultB_PFCd_2,-22,54,28
268,17Networks_LH_DefaultB_PFCd_3,-4,46,34
269,17Networks_LH_DefaultB_PFCd_4,-14,48,44
270,17Networks_LH_DefaultB_PFCd_5,-6,38,54
271,17Networks_LH_DefaultB_PFCd_6,-14,24,62
272,17Networks_LH_DefaultB_PFCd_7,-4,14,64
273,17Networks_LH_DefaultB_PFCl_1,-38,20,50
274,17Networks_LH_DefaultB_PFCl_2,-42,6,48
275,17Networks_LH_DefaultB_PFCv_1,-28,16,-16
276,17Networks_LH_DefaultB_PFCv_2,-36,36,-12
277,17Networks_LH_DefaultB_PFCv_3,-38,24,-14
278,17Networks_LH_DefaultB_PFCv_4,-46,32,-10
279,17Networks_LH_DefaultB_PFCv_5,-48,28,0
280,17Networks_LH_DefaultB_PFCv_6,-48,40,0
281,17Networks_LH_DefaultB_PFCv_7,-54,20,10
282,17Networks_LH_DefaultC_IPL_1,-42,-72,24
283,17Networks_LH_DefaultC_IPL_2,-38,-82,32
284,17Networks_LH_DefaultC_Rsp_1,-12,-46,2
285,17Networks_LH_DefaultC_Rsp_2,-10,-52,8
286,17Networks_LH_DefaultC_Rsp_3,-12,-58,16
287,17Networks_LH_DefaultC_Rsp_4,-16,-64,24
288,17Networks_LH_DefaultC_PHC_1,-20,-20,-26
289,17Networks_LH_DefaultC_PHC_2,-32,-28,-22
290,17Networks_LH_DefaultC_PHC_3,-32,-42,-10
291,17Networks_LH_DefaultC_PHC_4,-20,-36,-14
292,17Networks_LH_DefaultC_PHC_5,-14,-36,-10
293,17Networks_LH_TempPar_1,-54,-4,-10
294,17Networks_LH_TempPar_2,-60,-18,-2
295,17Networks_LH_TempPar_3,-62,-50,4
296,17Networks_LH_TempPar_4,-52,-44,6
297,17Networks_LH_TempPar_5,-62,-36,8
298,17Networks_LH_TempPar_6,-56,-56,12
299,17Networks_LH_TempPar_7,-48,-50,14
300,17Networks_LH_TempPar_8,-60,-50,16
301,17Networks_RH_VisCent_ExStr_1,36,-52,-18
302,17Networks_RH_VisCent_ExStr_2,30,-50,-12
303,17Networks_RH_VisCent_ExStr_3,38,-74,-16
304,17Networks_RH_VisCent_ExStr_4,26,-74,-10
305,17Networks_RH_VisCent_ExStr_5,22,-66,-8
306,17Networks_RH_VisCent_ExStr_6,20,-88,-12
307,17Networks_RH_VisCent_ExStr_7,42,-84,-16
308,17Networks_RH_VisCent_ExStr_8,12,-80,-12
309,17Networks_RH_VisCent_ExStr_9,8,-92,-10
310,17Networks_RH_VisCent_ExStr_10,28,-96,-10
311,17Networks_RH_VisCent_ExStr_11,42,-84,-4
312,17Networks_RH_VisCent_ExStr_12,8,-90,2
313,17Networks_RH_VisCent_ExStr_13,12,-98,2
314,17Networks_RH_VisCent_ExStr_14,22,-100,2
315,17Networks_RH_VisCent_ExStr_15,34,-90,4
316,17Networks_RH_VisCent_ExStr_16,22,-98,14
317,17Networks_RH_VisCent_ExStr_17,44,-78,10
318,17Networks_RH_VisCent_ExStr_18,12,-94,18
319,17Networks_RH_VisCent_ExStr_19,30,-88,18
320,17Networks_RH_VisCent_ExStr_20,22,-88,30
321,17Networks_RH_VisCent_ExStr_21,30,-78,24
322,17Networks_RH_VisPeri_ExStrSup_1,24,-46,-8
323,17Networks_RH_VisPeri_ExStrSup_2,14,-58,-4
324,17Networks_RH_VisPeri_ExStrSup_3,8,-72,-4
325,17Networks_RH_VisPeri_ExStrSup_4,16,-38,-6
326,17Networks_RH_VisPeri_ExStrSup_5,4,-80,-2
327,17Networks_RH_VisPeri_ExStrSup_6,18,-50,0
328,17Networks_RH_VisPeri_ExStrSup_7,10,-60,4
329,17Networks_RH_VisPeri_ExStrSup_8,10,-72,10
330,17Networks_RH_VisPeri_ExStrSup_9,22,-58,6
331,17Networks_RH_VisPeri_ExStrSup_10,4,-86,12
332,17Networks_RH_VisPeri_ExStrSup_11,16,-66,18
333,17Networks_RH_VisPeri_ExStrSup_12,4,-78,24
334,17Networks_RH_VisPeri_ExStrSup_13,8,-86,34
335,17Networks_RH_VisPeri_ExStrSup_14,14,-76,32
336,17Networks_RH_VisPeri_ExStrSup_15,18,-84,42
337,17Networks_RH_SomMotA_1,54,-18,46
338,17Networks_RH_SomMotA_2,52,-12,50
339,17Networks_RH_SomMotA_3,46,-10,50
340,17Networks_RH_SomMotA_4,50,-26,56
341,17Networks_RH_SomMotA_5,8,-12,50
342,17Networks_RH_SomMotA_6,44,-22,56
343,17Networks_RH_SomMotA_7,40,-16,56
344,17Networks_RH_SomMotA_8,34,-34,60
345,17Networks_RH_SomMotA_9,4,-22,58
346,17Networks_RH_SomMotA_10,34,-28,60
347,17Networks_RH_SomMotA_11,36,-16,68
