ROI Label,ROI Name,R,A,S
191,17networks_RH_VisualA_SPL_2,26,-61,58
192,17networks_RH_VisualB_ExStrInf_1,12,-65,-5
193,17networks_RH_VisualB_ExStrInf_2,16,-46,-1
194,17networks_RH_VisualB_ExStrSup_1,20,-90,22
195,17networks_RH_VisualB_ExStrSup_2,16,-85,39
196,17networks_RH_VisualB_ExStrSup_3,11,-74,26
197,17networks_RH_VisualB_Striate_1,11,-92,-5
198,17networks_RH_VisualB_Striate_2,9,-75,9
199,17networks_RH_VisualB_Striate_3,22,-60,7
200,17networks_RH_VisualC_ExStr_1,31,-94,-4
